ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
740628,GOKU-JO GINJO PREMIUM SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,12.16,300,15,,,0.1,JAPAN,
593319,GOKUJO SUPER PREMIUM GINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,29.34,720,15,,,0.1,JAPAN,
714519,GOLD OMACHI DAIGINJO JUNMAI SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,16.14,300,16.2,,,0.1,JAPAN,
153288,GOLD OMACHI JUNMAI DAIGINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,38.35,720,16.2,,,0.1,JAPAN,
797830,GRANVILLE ISLAND OSAKE NIGORI SPARKLING,CENTURY MARKETING CORPORATION,WINE -- SAKE,SAKE,SPARKLING,,20.77,500,12.5,,,0.1,CANADA,BRITISH COLUMBIA
486340,HAKKAISAN - DAIGINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,70.33,720,15.5,,,0.1,JAPAN,
756597,HAKKAISAN - HONJOZO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,22.98,720,15.5,,,0.1,JAPAN,
760413,HAKKAISAN - JUNMAI GINJYO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,32.67,720,15.5,,,0.1,JAPAN,
760412,HAKKAISAN - SEISHU,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,19.57,720,15.5,,,0.1,JAPAN,
285890,HAKKAISAN - SPARKLING NIGORI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,SPARKLING,,16.48,360,15,,,0.1,JAPAN,
285924,HAKKAISAN - SPARKLING NIGORI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,SPARKLING,,30.57,720,14.5,,,0.1,JAPAN,
283960,HAKKAISAN - TOKUBETSU JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,45.32,1800,15.5,,,0.25,JAPAN,
794115,HAKURAKUSEI JUNMAI DAIGINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,51.09,720,16,,,0.1,JAPAN,
577122,HAKURAKUSEI JUNMAI GINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,32.43,720,16,,,0.1,JAPAN,
756613,HAKURAKUSEI TOKUBETSU JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,28.7,720,16,,,0.1,JAPAN,
12849,HAKUTSURU,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,NOT SPARKLING,,8.24,720,15.5,,,0.1,JAPAN,
733926,HAKUTSURU DRAFT SAKE,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,NOT SPARKLING,,5.23,300,14.5,,,0.1,JAPAN,
733928,HAKUTSURU SAYURI NIGORI SAKE,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,NOT SPARKLING,,6.54,300,12.5,,,0.1,JAPAN,
791928,HAKUTSURU SHO-UNE JUNMAI DAI GINJO,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,NOT SPARKLING,,8.24,300,15.5,,,0.1,JAPAN,
210823,HAKUTSURU SUPERIOR JUNMAI GINJO,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,NOT SPARKLING,,6.74,300,14.5,,,0.1,JAPAN,
784990,HOMARE STRAWBERRY NIGORI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,20.88,500,7,,,0.1,JAPAN,
529131,HOUOUBIDEN HIGEBAN JUNMAI GINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,36.33,720,16,,,0.1,JAPAN,
778466,HOUOUBIDEN KANBASHI JUNMAI GINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,36.35,720,16,,,0.1,JAPAN,
756600,HOUOUBIDEN PHOENIX 2012 JUNMAI DAIGINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,75.82,750,17,,,0.1,JAPAN,
775509,HOURAISEN BESHI TOKUBETSU JUNAMI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,24.58,720,15,,,0.1,JAPAN,
775510,HOURAISEN BESHI TOKUBETSU JUNAMI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,12.97,300,15,,,0.1,JAPAN,
783695,HOURAISEN BESHI TOKUBETSU JUNAMI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,49.72,1800,15,,,0.25,JAPAN,
776943,HOURAISEN GIN JUNMAI DAIGINJO,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,98.79,720,15,,,0.1,JAPAN,
775508,HOURAISEN KUU JUNMAI DAIGINJO,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,58.82,720,15,,,0.1,JAPAN,
